Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,,,,,
T40,6/15/15,13.157848,39.240549,13.160571,39.231322,WGS84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
1.8,ls,olt,icb,,,,,339.6,,339.6,248,4.651,0.027,-5.034,0.09,mtx,,,,,,,,,
0.5,ls,gr,olt,,,,,341.8,,341.8,250,5.449,0.09,-6.326,0.254,mtx,0.706663267,111.453131,413099.7397,836.1419103,2368.517069,188.4188352,372.7888884,-4.954848055,1595.644651
0.2,ls,olt,icb,,,,,341.8,,341.8,250,2.745,0.07,-6.26,0.171,mts,0.70666025,75.04244398,445621.3889,380.1479655,1697.595189,275.963479,207.1693535,-11.93540353,1185.644599
0.7,ls,gr,,,,,,342.6,,342.6,250,3.923,0.061,-6.773,0.103,mtx,,,,,,,,,
2.2,cover,cover,,,,,,344,,344,250,4.02,0.12,-5.326,0.181,mtx,,,,,,,,,
6.4,ls,gr,olt,,,,,346,,346,250,3.448,0.109,-6.809,0.165,mtx,,,,,,,,,
8.9,ls,gr,mts,,,,,348.2,,348.2,252,3.583,0.117,-6.78,0.255,mtx,,,,,,,,,
1.1,ls,ri,,,,,,349,,349,253,1.488,0.089,-4.208,0.185,mts,,,,,,,,,
1.7,ls,gr,mts,,,,,349.1,,349.1,254,3.338,0.118,-7.043,0.245,mtx,,,,,,,,,
1,ls,gr,,,,,,349.6,,349.6,254,3.721,0.064,-6.737,0.102,mtx,0.706656827,119.3633687,311472.8794,177.1282991,1639.679396,176.8216123,295.1789065,-3.565765895,1217.776558
0.7,ls,gr,mts,,,,,349.6,,349.6,254,,,,,mts,,12.90860197,418689.7051,56.69042192,769.2100035,202.1992054,94.60839017,-42.70282904,264.3789744
0.9,cover,cover,,,,,,350,,350,254,2.373,0.099,-7.204,0.277,mtx,,,,,,,,,
1.1,ls,gr,mts,,,,,350.8,,350.8,256,3.655,0.149,-7.627,0.728,mtx,,,,,,,,,
0.8,ls,ri,mts,,,,,352.3,,352.3,257,4.162,0.065,-7.501,0.114,mtx,,,,,,,,,
0.9,ls,gr,mts,,,,,353.9,,353.9,259,4.235,0.09,-6.914,0.1,mtx,,,,,,,,,
1.2,ls,ri,mts,,,,,355.1,,355.1,260,4.168,0.095,-8.283,0.487,mtx,,,,,,,,,
0.3,cover,cover,,,,,,356.6,,356.6,263,3.23,0.054,-6.249,0.201,mtx,,,,,,,,,
0.6,ls,ri,mts,,,,,356.9,,356.9,263,4.394,0.06,-8.091,0.177,mtx,0.706655403,140.3511046,315619.192,224.5988559,1874.899307,124.2673353,340.2575609,-11.80032457,1003.197194
0.2,ls,olt,icb,,,,,356.9,,356.9,263,3.393,0.088,-5.488,0.168,mts,0.706687046,42.23999897,435297.2674,36.5589595,1375.323282,171.5863798,131.3580673,-35.19130029,679.360738
