section,lithology,formation,strat_m,composite_strat,d13C,d18O,d13Corg,Dd13C,TOC%
W1,limestone,Bitter Springs,-1626.2,321.3,7,-7.9,,,
W1,limestone,Bitter Springs,-1625.1,322.4,7.1,-8.3,,,
W1,limestone,Bitter Springs,-1624,323.5,6.9,-6.9,,,
W1,limestone,Bitter Springs,-1623,324.5,6.5,-7.1,,,
W1,limestone,Bitter Springs,-1622,325.5,6.9,-7.1,,,
W1,dolostone,Bitter Springs,-1621,326.5,6.9,-5.8,,,
W1,insoluble residue,Bitter Springs,-1620.5,327,,,-24.1,30.8,
W1,limestone,Bitter Springs,-1620.4,327.1,6.7,-4.8,,,
W1,dolostone,Bitter Springs,-1619.3,328.2,6.4,-2.8,,,
W1,dolostone,Bitter Springs,-1618.8,328.7,6.8,-3.2,,,
W1,limestone,Bitter Springs,-1617.4,330.1,5.5,-3.8,,,
W1,limestone,Bitter Springs,-1617,330.5,7.3,-7.6,,,
W1,limestone,Bitter Springs,-1615.9,331.6,5.5,-7.9,-27.2,32.7,0.041
W1,dolostone,Bitter Springs,-1614.7,332.8,4.1,-1.8,,,
W1,dolostone,Bitter Springs,-1613.1,334.4,5.1,-2.9,,,
W1,limestone,Bitter Springs,-1611.7,335.8,6.2,-7,,,
W1,dolostone,Bitter Springs,-1610.7,336.8,4.1,-2.5,,,
W1,dolostone,Bitter Springs,-1609.8,337.7,5.8,-4.1,-26.8,32.6,0.055
W1,limestone,Bitter Springs,-1608.8,338.7,6.9,-8.6,,,
